acc,Key,Sample,AMIKAC_MIC,Unnamed: 3,AMOXIC_MIC,Unnamed: 5,AMOCL2_MIC,Unnamed: 7,AMOCL_MIC,Unnamed: 9,AZTREO_MIC,Unnamed: 11,CEFEP_MIC,Unnamed: 13,CEFOTA_MIC,Unnamed: 15,CEFTAZ_MIC,Unnamed: 17,CFZAVI_MIC,Unnamed: 19,CIPROF_MIC,Unnamed: 21,COLLIST_MIC,Unnamed: 23,ERTAPENEM_MIC,Unnamed: 25,FZNTAZO_MIC,Unnamed: 27,GENTAM_MIC,Unnamed: 29,IMIPENEM_MIC,Unnamed: 31,MEROPENEM_MIC,Unnamed: 33,PIPERAC_MIC,Unnamed: 35,PIPTAZO_MIC,Unnamed: 37,TEMOC_MIC,Unnamed: 39,TIGEC_MIC,Unnamed: 41,TOBRAM_MIC,Unnamed: 43,TRISUL_MIC,Unnamed: 45
SRR20168599,05/0311,05-0311,≤       2,SUSC, >      32,RESIST,      32,RESIST,      16,INTERM,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,≤     0.5,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,       1,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,,,       2,SUSC,       4,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
SRR20168598,05/0366,05-0366,≤       2,SUSC,       2,SUSC,       2,SUSC,       2,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,       1,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,       1,SUSC,≤     0.5,SUSC,≤     0.12,SUSC, ≤    2,SUSC,≤       1,SUSC,       4,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
SRR20168597,05/0449,05-0449,≤       2,SUSC,       4,SUSC,       4,SUSC,       4,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,     0.5,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,       2,SUSC,≤     0.5,SUSC,≤     0.12,SUSC, ≤    2,SUSC,≤       1,SUSC,       4,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
SRR20168595,05/0525,05-0525,       4,SUSC,       4,SUSC,       4,SUSC,       4,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,≤     0.5,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,       1,SUSC,≤     0.5,SUSC,≤     0.12,SUSC, ≤    2,SUSC,≤       1,SUSC,       4,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
SRR20168594,05/0541,05-0541,≤       2,SUSC, >      32,RESIST,       8,SUSC,       8,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,≤     0.5,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,,,       2,SUSC,       8,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
SRR20168705,05/0570,05-0570,       4,SUSC, >      32,RESIST,       8,SUSC,       8,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,≤     0.5,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,       1,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,,,≤       1,SUSC,       8,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
SRR20168704,05/0643,05-0643,       4,SUSC,       4,SUSC,       4,SUSC,       4,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,≤     0.5,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,       1,SUSC,≤     0.5,SUSC,≤     0.12,SUSC, ≤    2,SUSC,≤       1,SUSC,       4,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
SRR20168703,05/0645,05-0645,≤       2,SUSC,       4,SUSC,       4,SUSC,       4,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,≤     0.5,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.12,SUSC, ≤    2,SUSC,       2,SUSC,       4,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
SRR20168702,05/0674,05-0674,≤       2,SUSC,       4,SUSC,       4,SUSC,       4,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,≤     0.5,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,       1,SUSC,≤     0.5,SUSC,≤     0.12,SUSC, ≤    2,SUSC,≤       1,SUSC,       4,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
SRR20168701,05/0955,05-0955,≤       2,SUSC, >      32,RESIST, >      64,RESIST,      32,RESIST,≤     0.5,SUSC,       1,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,NOINTP,≤    0.06,SUSC,≤     0.5,SUSC,≤    0.12,SUSC,≤     0.5,NOINTP,≤     0.5,SUSC,≤     0.5,SUSC,≤     0.5,SUSC,,,      32,RESIST,       8,NOINTP,≤    0.25,SUSC,≤       1,SUSC,≤     0.5,SUSC
